WHAM	LUMPY	GS	type	length
FALSE	FALSE	TRUE	MIXED	1977
FALSE	FALSE	TRUE	MIXED	1247
FALSE	FALSE	TRUE	MIXED	3546
FALSE	FALSE	TRUE	MIXED	4760
FALSE	FALSE	TRUE	MIXED	21267
FALSE	FALSE	TRUE	MIXED	11611
FALSE	TRUE	FALSE	DUP	223477338
FALSE	FALSE	TRUE	MIXED	1042
FALSE	FALSE	TRUE	MIXED	3164
FALSE	FALSE	TRUE	MIXED	2138
FALSE	FALSE	TRUE	DUP	8381
FALSE	FALSE	TRUE	DUP	5005
FALSE	FALSE	TRUE	DUP	2649
FALSE	FALSE	TRUE	DUP	7640
FALSE	FALSE	TRUE	DUP	3901
FALSE	FALSE	TRUE	MIXED	2391
FALSE	FALSE	TRUE	DUP	5742
FALSE	FALSE	TRUE	DUP	3289
FALSE	FALSE	TRUE	DUP	6755
FALSE	FALSE	TRUE	DUP	11629
FALSE	FALSE	TRUE	DUP	15046
FALSE	FALSE	TRUE	DUP	7198
FALSE	FALSE	TRUE	DUP	5693
FALSE	FALSE	TRUE	MIXED	4069
TRUE	FALSE	FALSE	DUP	29
FALSE	FALSE	TRUE	DUP	4819
FALSE	FALSE	TRUE	MIXED	1710
FALSE	FALSE	TRUE	DUP	25498
TRUE	FALSE	FALSE	DEL	-34
TRUE	FALSE	FALSE	DEL	-34
FALSE	FALSE	TRUE	DUP	25397
TRUE	FALSE	FALSE	DUP	32
FALSE	FALSE	TRUE	DUP	10387
FALSE	FALSE	TRUE	DUP	14076
FALSE	FALSE	TRUE	DUP	2567
FALSE	FALSE	TRUE	MIXED	1221
TRUE	FALSE	FALSE	DUP	68
TRUE	FALSE	FALSE	DUP	41
FALSE	TRUE	FALSE	DEL	-1301
TRUE	TRUE	FALSE	DEL	-28
TRUE	FALSE	FALSE	DUP	31
TRUE	FALSE	FALSE	DEL	-24
TRUE	FALSE	FALSE	DEL	-49
FALSE	FALSE	TRUE	DEL	-4332
TRUE	TRUE	FALSE	DEL	-202
TRUE	FALSE	FALSE	DUP	51
FALSE	TRUE	FALSE	DEL	-548
FALSE	FALSE	TRUE	DUP	15799
TRUE	FALSE	FALSE	DEL	-183
FALSE	FALSE	TRUE	DEL	-6270
FALSE	FALSE	TRUE	MIXED	5529
FALSE	TRUE	FALSE	DEL	-51904
FALSE	FALSE	TRUE	MIXED	7681
FALSE	FALSE	TRUE	MIXED	15247
TRUE	FALSE	FALSE	DUP	52
FALSE	FALSE	TRUE	MIXED	1299
FALSE	FALSE	TRUE	MIXED	17835
